"","Item_ID","Sentence","HaveNeedTo","Finite","ModalPresent","QuestionType","DegreeQ","SubjectAuxInv","WhAll","MatrixNegPresent","EmbeddedNegPresent","QuantifiedSubject","QuantifiedPredicate","Wh","MatrixNegation","MatrixDoSupport","MatrixPred1","MatrixPred2","MatVerbPart","Modal","EmbeddedNegation","Verb1","Verb2","Verb3","DeterminerSubject","DeterminerNonSubject","FullWhPhrase","DeterminerSubjPresent","DeterminerNonSubjPresent","WhNode","WhParse","Question","SentenceParse","WhPhaseType","IdentityQ"
"27","24180:43","* haven't figured out what i want *-1 to be *t*-2 when i grow up *t*-3.","no","yes","no","embadjunct","no","","","yes","","","","when","n't","","be","","","","","grow","","","","","","no","no",NA,"(WRB when)","when i grow up *t*-3","(TOP (S (NP-SBJ (-NONE- *)) (VP (VBP Have) (RB n't) (VP (VBN figured) (PRT (RP out)) (SBAR (WHNP-2 (WP what)) (S (NP-SBJ-1 (PRP I)) (VP (VBP want) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB be) (NP-PRD (-NONE- *T*-2)) (SBAR-TMP (WHADVP-3 (WRB when)) (S (NP-SBJ (PRP I)) (VP (VBP grow) (PRT (RP up)) (ADVP-TMP (-NONE- *T*-3))))))))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"28","24499:78","i'm, uh, i deal much better in research and books, and stuff like that which *t*-1 is why i'm going *-2 to enjoy the paralegal field a lot *t*-3.","no","yes","no","embedded","no","","","","","","","why","","","is","","","","","'m","going","enjoy","","the paralegal field","","no","no",NA,"(WRB why)","why i'm going *-2 to enjoy the paralegal field a lot *t*-3","(TOP (S (EDITED (RM (-DFL- \[)) (S (NP-SBJ (PRP I)) (VP-UNF (VBP 'm))) (, ,) (IP (-DFL- \+))) (INTJ (UH uh)) (, ,) (NP-SBJ (PRP I)) (RS (-DFL- \])) (VP (VP (VBP deal) (ADVP-MNR (RB much) (RB better)) (PP (IN in) (NP (NP (NN research)) (CC and) (NP (NNS books)) (, ,) (CC and) (NP (NP (NN stuff)) (PP (IN like) (NP (DT that))))))) (SBAR (WHNP-1 (WDT which)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBZ is) (SBAR-PRP-PRD (WHADVP-3 (WRB why)) (S (NP-SBJ-2 (PRP I)) (VP (VBP 'm) (VP (VBG going) (S (NP-SBJ (-NONE- *-2)) (VP (TO to) (VP (VB enjoy) (NP (DT the) (JJ paralegal) (NN field)) (NP-ADV (DT a) (NN lot))))) (ADVP-PRP (-NONE- *T*-3)))))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"29","26756:22","and you've a choice of where you want *-1 to go *t*-2.","no","yes","no","relative","no","","","","","","","where","","","","","","","","want","go","","","","where","no","no",NA,"(WRB where)","where you want *-1 to go *t*-2","(TOP (S (CC and) (NP-SBJ (PRP you)) (VP (VBP 've) (NP (NP (DT a) (NN choice)) (PP (IN of) (SBAR (WHADVP-2 (WRB where)) (S (NP-SBJ-1 (PRP you)) (VP (VBP want) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB go) (ADVP-DIR (-NONE- *T*-2))))))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"30","27119:16","and i've seen how their school system works *t*-1","no","yes","no","embedded","no","","","","","","","how","","","seen","","","","","works","","","","","","no","no",NA,"(WRB how)","how their school system works *t*-1","(TOP (S (CC and) (NP-SBJ (PRP I)) (VP (VBP 've) (VP (VBN seen) (SBAR (WHADVP-1 (WRB how)) (S (NP-SBJ (PRP$ their) (NN school) (NN system)) (VP (VBZ works) (ADVP-MNR (-NONE- *T*-1))))))) (-DFL- E_S)))","monomorphemic","no"
"31","27406:14","you can see where those spackling marks were *t*-1.","no","yes","no","embadjunct","no","","","","","","","where","","","see","","","","","were","","","those spackling marks","those spackling marks","","yes","yes",NA,"(WRB where)","where those spackling marks were *t*-1","(TOP (S (NP-SBJ (PRP you)) (VP (MD can) (VP (VB see) (SBAR-LOC (WHADVP-1 (WRB where)) (S (NP-SBJ (DT those) (NN spackling) (NNS marks)) (VP (VBD were) (ADVP-LOC-PRD (-NONE- *T*-1))))))) (. .) (-DFL- E_S)))","monomorphemic","yes"
"32","27777:45","um, essentially i was one of the nerdy types in high school really which *t*-1 meant that i, for one reason or another i didn't pay much attention to music,","no","yes","no","embadjunct","no","","","","yes","","one","which","","","","","","","n't","meant","did","n't","","one reason or another","","no","no",NA,"(WDT which)","which *t*-1 meant that i, for one reason or another i didn't pay much attention to music","(TOP (S (INTJ (UH um)) (, ,) (ADVP (RB essentially)) (NP-SBJ (PRP I)) (VP (VP (VBD was) (NP-PRD (NP (CD one)) (PP (IN of) (NP (DT the) (JJ nerdy) (NNS types)))) (PP-TMP (IN in) (NP (JJ high) (NN school))) (ADVP (RB really))) (SBAR (WHNP-1 (WDT which)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBD meant) (SBAR (IN that) (S (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP I)) (, ,) (IP (-DFL- \+))) (PP-PRP (IN for) (NP (NP (CD one) (NN reason)) (CC or) (NP (DT another)))) (NP-SBJ (PRP I)) (RS (-DFL- \])) (VP (VBD did) (RB n't) (VP (VB pay) (NP (JJ much) (NN attention)) (PP-DTV (IN to) (NP (NN music))))))))))) (, ,) (-DFL- E_S)))","monomorphemic","no"
"33","29072:27","uh, well, it would depend on when you go *t*-1","no","yes","no","embedded","no","","","","","","","when","","","","","depend","","","go","","","","","when","no","no",NA,"(WRB when)","when you go *t*-1","(TOP (S (INTJ (UH Uh)) (, ,) (INTJ (UH well)) (, ,) (NP-SBJ (PRP it)) (VP (MD would) (VP (VB depend) (PP (IN on) (SBAR-NOM (WHADVP-1 (WRB when)) (S (NP-SBJ (PRP you)) (VP (VBP go) (ADVP-TMP (-NONE- *T*-1)))))))) (-DFL- E_S)))","monomorphemic","no"
"34","30568:31","well, we'll try this out and see what it looks like *t*-1.","no","yes","no","embedded","no","","","","","","","what","","","see","","","","","looks","","","","","","no","no",NA,"(WP what)","what it looks like *t*-1","(TOP (S (INTJ (UH Well)) (, ,) (NP-SBJ (PRP we)) (VP (MD 'll) (VP (VP (VB try) (NP (DT this)) (PRT (RP out))) (CC and) (VP (VB see) (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (PRP it)) (VP (VBZ looks) (PP (IN like) (NP (-NONE- *T*-1))))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"35","31358:22","because i can't really see why anyone, um, who *t*-1 has nothing 0 * to hide *t*-2 would object *t*-3.","yes","","yes","embedded","no","","","yes","","anyone","","why","nothing","","see","","","would","","has","hide","object","","","","no","no",NA,"(WRB why)","why anyone, um, who *t*-1 has nothing 0 * to hide *t*-2 would object *t*-3","(TOP (SBAR-PRP (IN because) (S (NP-SBJ (PRP I)) (VP (MD ca) (RB n't) (ADVP (RB really)) (VP (VB see) (SBAR (WHADVP-3 (WRB why)) (S (NP-SBJ (NP (NN anyone)) (, ,) (INTJ (UH um)) (, ,) (SBAR (WHNP-1 (WP who)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBZ has) (NP (NP (NN nothing)) (SBAR (WHNP-2 (-NONE- 0)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB hide) (NP (-NONE- *T*-2))))))))))) (VP (MD would) (VP (VB object) (ADVP-PRP (-NONE- *T*-3))))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"36","31808:7","but when we got hired *-1 here *t*-2, no, no, never any layoffs, never, never,","no","yes","no","fragment","no","","","","","","","when","","","","","","","","got","hired","here","","","","no","no",NA,"(WRB when)","when we got hired *-1 here *t*-2","(TOP (FRAG (CC but) (SBAR-TMP (WHADVP-2 (WRB when)) (S (NP-SBJ-1 (PRP we)) (VP (VBD got) (VP (VBN hired) (NP (-NONE- *-1)) (ADVP-LOC (RB here)) (ADVP-TMP (-NONE- *T*-2)))))) (, ,) (INTJ (UH no)) (, ,) (INTJ (UH no)) (, ,) (ADVP-TMP (RB never)) (NP (DT any) (NNS layoffs)) (, ,) (ADVP-TMP (RB never)) (, ,) (ADVP-TMP (RB never)) (, ,) (-DFL- E_S)))","monomorphemic","no"
"37","32640:11","you know what i mean *t*-1.","no","yes","no","embedded","no","","","","","","","what","","","know","","","","","mean","","","","","","no","no",NA,"(WP what)","what i mean *t*-1","(TOP (S (NP-SBJ (PRP you)) (VP (VBP know) (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (PRP I)) (VP (VBP mean) (NP (-NONE- *T*-1)))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"38","34957:4","where i watched things on a more regular basis *t*-2.","no","yes","no","adjunct","no","","","","","","more","where","","","","","","","","watched","more","regular","","a more regular basis","","no","no",NA,"(WRB where)","where i watched things on a more regular basis *t*-2.","(TOP (SBAR (WHADVP-2 (WRB where)) (S (NP-SBJ (PRP I)) (VP (VBD watched) (NP (NNS things)) (PP (IN on) (NP (DT a) (ADJP (RBR more) (JJ regular)) (NN basis))) (ADVP (-NONE- *T*-2)))) (. .) (-DFL- N_S)))","monomorphemic","yes"
"39","35282:35","but it's real different show than it was *?* when it started *t*-1.","no","yes","no","embadjunct","no","","","","","","","when","","","was","","","","","started","","","","","when","no","no",NA,"(WRB when)","when it started *t*-1","(TOP (S (CC But) (NP-SBJ (PRP it)) (VP (BES 's) (NP-PRD (NP (ADJP (RB real) (JJ different)) (NN show)) (SBAR (IN than) (S (NP-SBJ (PRP it)) (VP (VBD was) (NP-PRD (-NONE- *?*)) (SBAR-TMP (WHADVP-1 (WRB when)) (S (NP-SBJ (PRP it)) (VP (VBD started) (ADVP-TMP (-NONE- *T*-1)))))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"40","36137:19","and, you know, when i's in graduate school *-1 working on my master's degree in math *t*-2, i was, uh, teaching as part of my, part of the program.","no","yes","no","embadjunct","no","","","","","","","when","","","","","","","","'s","working","","","","","no","no",NA,"(WRB when)","when i's in graduate school *-1 working on my master's degree in math *t*-2","(TOP (S (CC and) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (SBAR-TMP (WHADVP-2 (WRB when)) (S (NP-SBJ-1 (PRP I)) (VP (VBD 's) (PP-PRD (IN in) (NP (NN graduate) (NN school))) (S-ADV (NP-SBJ (-NONE- *-1)) (VP (VBG working) (PP (IN on) (NP (NP (NP (PRP$ my) (NN master) (POS 's)) (NN degree)) (PP (IN in) (NP (NN math))))))) (ADVP-TMP (-NONE- *T*-2))))) (, ,) (NP-SBJ (PRP I)) (VP (VBD was) (, ,) (INTJ (UH uh)) (, ,) (VP (VBG teaching) (PP (IN as) (EDITED (RM (-DFL- \[)) (NP (NP (NN part)) (PP (IN of) (NP-UNF (PRP$ my)))) (, ,) (IP (-DFL- \+))) (NP (NP (NN part)) (PP (IN of) (NP (DT the) (RS (-DFL- \])) (NN program))))))) (. .) (-DFL- E_S)))","monomorphemic",""
"41","37386:68","see i have, i have a tendency * to, a, adopt teams when i wen-, go to a tea-, uh, go to a town *t*-1.","no","yes","no","embadjunct","no","","","","","","","when","","adopt","adopt","","","","","wen-","go","go","","a tea-","when","no","no",NA,"(WRB when)","when i wen-, go to a tea-, uh, go to a town *t*-1","(TOP (S (INTJ (VB see)) (EDITED (RM (-DFL- \[)) (S (NP-SBJ (PRP I)) (VP-UNF (VBP have))) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP I)) (VP (VBP have) (RS (-DFL- \])) (NP (DT a) (NN tendency) (S (NP-SBJ (-NONE- *)) (VP (TO to) (, ,) (EDITED (RM (-DFL- \[)) (VP-UNF (DT a)) (, ,) (IP (-DFL- \+))) (VP (VB adopt) (RS (-DFL- \])) (NP (NNS teams)) (SBAR-TMP (WHADVP-1 (WRB when)) (S (NP-SBJ (PRP I)) (EDITED (RM (-DFL- \[)) (EDITED (RM (-DFL- \[)) (VP-UNF (VBD wen-)) (, ,) (IP (-DFL- \+))) (VP (VBP go) (PP-DIR (IN to) (NP-UNF (DT a) (NN tea-)))) (, ,) (RS (-DFL- \])) (IP (-DFL- \+))) (INTJ (UH uh)) (, ,) (VP (VBP go) (PP-DIR (IN to) (NP (DT a) (NN town))) (ADVP-TMP (-NONE- *T*-1)))))))))) (. .) (RS (-DFL- \])) (-DFL- E_S)))","monomorphemic","no"
"42","38848:19","you get so involved in what you're reading *t*-1.","no","yes","no","embedded","no","","","","","","","what","","","","","so","","","'re","reading","","","","what","no","no",NA,"(WP what)","what you're reading *t*-1","(TOP (S (NP-SBJ (PRP You)) (VP (VBP get) (ADJP-PRD (RB so) (JJ involved) (PP (IN in) (SBAR-NOM (WHNP-1 (WP what)) (S (NP-SBJ (PRP you)) (VP (VBP 're) (VP (VBG reading) (NP (-NONE- *T*-1))))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"43","40101:14","well, anybody who *t*-1 has david robinson, has got *-2 to have a chance anyway.","no","yes","no","relative","no","","","","","","","who","","","","","","","","has","","","","","who","no","no",NA,"(WP who)","who *t*-1 has david robinson","(TOP (S (INTJ (UH Well)) (, ,) (NP-SBJ-2 (NP (NN anybody)) (SBAR (WHNP-1 (WP who)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBZ has) (NP (NNP David) (NNP Robinson)))))) (, ,) (VP (VBZ has) (VP (VBN got) (S (NP-SBJ (-NONE- *-2)) (VP (TO to) (VP (VB have) (NP (DT a) (NN chance)) (ADVP (RB anyway))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"44","40956:9","and, what they did *t*-1, they had, uh, a book made *-2 up","no","yes","no","adjunct","no","","","","","","","what","","","","","","","","did","","","","","","no","no",NA,"(WP what)","what they did *t*-1","(TOP (S (CC And) (, ,) (SBAR-ADV (WHNP-1 (WP what)) (S (NP-SBJ (PRP they)) (VP (VBD did) (NP (-NONE- *T*-1))))) (, ,) (NP-SBJ (PRP they)) (VP (VBD had) (, ,) (INTJ (UH uh)) (, ,) (S (NP-SBJ-2 (DT a) (NN book)) (VP (VBN made) (NP (-NONE- *-2)) (PRT (RP up))))) (-DFL- E_S)))","monomorphemic","no"
"45","41524:18","but i can't remember who it was about *t*-1.","no","yes","no","embedded","no","","","yes","","","","who","n't","","remember","","","","","was","","","","","","no","no",NA,"(WP who)","who it was about *t*-1","(TOP (S (CC but) (NP-SBJ (PRP I)) (VP (MD ca) (RB n't) (VP (VB remember) (SBAR (WHNP-1 (WP who)) (S (NP-SBJ (PRP it)) (VP (VBD was) (PP-PRD (IN about) (NP (-NONE- *T*-1)))))))) (. .) (-DFL- E_S)))","monomorphemic",""
"46","42736:74","because i started *-2 shooting, my dad started *-3 letting me shoot like a little air b b gun, when i was probably five or six years old *t*-1.","no","yes","no","embadjunct","no","","","","","","","when","","","started","","","","","was","probably","old","","","","no","no",NA,"(WRB when)","when i was probably five or six years old *t*-1","(TOP (SBAR-PRP (IN Because) (S (EDITED (RM (-DFL- \[)) (S (NP-SBJ-2 (PRP I)) (VP (VBD started) (S (NP-SBJ (-NONE- *-2)) (VP (VBG shooting))))) (, ,) (IP (-DFL- \+))) (NP-SBJ-3 (PRP$ my) (NN Dad)) (VP (VBD started) (S (NP-SBJ (-NONE- *-3)) (VP (VBG letting) (S (NP-SBJ (PRP me)) (VP (VB shoot) (RS (-DFL- \])) (INTJ (UH like)) (NP (DT a) (JJ little) (NN air) (NN B) (NN B) (NN gun)))))) (, ,) (SBAR-TMP (WHADVP-1 (WRB when)) (S (NP-SBJ (PRP I)) (VP (VBD was) (ADVP (RB probably)) (ADJP-PRD (NP-ADV (QP (CD five) (CC or) (CD six)) (NNS years)) (JJ old)) (ADVP-TMP (-NONE- *T*-1))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"47","42865:24","they'd have that respect for what it does *t*-1, and what it can do *t*-2.","no","yes","no","relative","no","","","","","","","what","","","","","","","","does","","","","","what","no","no",NA,"(WP what)","what it does *t*-1","(TOP (S (NP-SBJ (PRP they)) (VP (MD 'd) (VP (VB have) (NP (NP (DT that) (NN respect)) (PP (IN for) (SBAR-NOM (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (PRP it)) (VP (VBZ does) (NP (-NONE- *T*-1))))) (, ,) (CC and) (SBAR (WHNP-2 (WP what)) (S (NP-SBJ (PRP it)) (VP (MD can) (VP (VB do) (NP (-NONE- *T*-2))))))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"48","43500:14","you know, what's the significance of the apes *t*-1, you know.","no","yes","no","root","no","yes","","","","","","what","","","","","","","","'s","know","","the significance of the apes","","","no","",NA,"(WP what)","you know, what's the significance of the apes *t*-1, you know.","(TOP (SBARQ (PRN (S (NP-SBJ (PRP You)) (VP (VBP know))) (, ,)) (WHNP-1 (WP what)) (SQ (BES 's) (NP-SBJ (NP (DT the) (NN significance)) (PP (IN of) (NP (DT the) (NNS apes)))) (NP-PRD (-NONE- *T*-1)) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"49","44549:70","uh, when i was, uh, married *t*-1, my, uh, ex-wife had said that she had a friend who *t*-2 had a little puppy. that she needed, uh, the woman needed someone 0 *t*-4 to baby-sit *t*-3","yes","yes","no","subject","no","","","","","","someone","who","","","said","","","","","had","little","needed","the woman","a little puppy. that she needed, uh, the woman needed someone 0 *t*-4 to baby-sit *t*-3","who","no","no",NA,"(WP who)","who *t*-2 had a little puppy. that she needed, uh, the woman needed someone 0 *t*-4 to baby-sit *t*-3","(TOP (S (INTJ (UH Uh)) (, ,) (SBAR-TMP (WHADVP-1 (WRB when)) (S (NP-SBJ (PRP I)) (VP (VBD was) (, ,) (INTJ (UH uh)) (, ,) (ADJP-PRD (JJ married)) (ADVP-TMP (-NONE- *T*-1))))) (, ,) (NP-SBJ (PRP$ my) (, ,) (INTJ (UH uh)) (, ,) (NN ex-wife)) (VP (VBD had) (VP (VBN said) (SBAR (IN that) (S (NP-SBJ (PRP she)) (VP (VBD had) (NP (NP (DT a) (NN friend)) (SBAR (WHNP-2 (WP who)) (S (NP-SBJ (-NONE- *T*-2)) (VP (VBD had) (NP (NP (DT a) (JJ little) (NN puppy)) (. .) (SBAR (WHNP-3 (WDT That)) (S (EDITED (S (NP-SBJ (PRP she)) (VP (VBD needed))) (, ,)) (-DFL- N_S) (INTJ (UH uh)) (, ,) (NP-SBJ (DT the) (NN woman)) (VP (VBD needed) (NP (NP (NN someone)) (SBAR (WHNP-4 (-NONE- 0)) (S (NP-SBJ (-NONE- *T*-4)) (VP (TO to) (VP (VB baby-sit) (NP (-NONE- *T*-3)))))))))))))))))))) (-DFL- E_S)))","monomorphemic","no"
"50","47976:76","so, so, you would have a job with a company? rather than, uh, radio or television or newspapers or, what have you *t*-1.","no","yes","no","relative","no","yes","","","","","","what","","","","","","","","have","","","","","what","no","no",NA,"(WP what)","what have you *t*-1","(TOP (S (EDITED (RM (-DFL- \[)) (RB so) (, ,) (IP (-DFL- \+))) (RB so) (, ,) (RS (-DFL- \])) (NP-SBJ (PRP you)) (VP (MD would) (VP (VB have) (NP (NP (DT a) (NN job)) (PP (IN with) (NP (NP (DT a) (NN company)) (. ?) (CONJP (RB Rather) (IN than)) (, ,) (INTJ (UH uh)) (, ,) (NP (NN radio) (CC or) (NN television) (CC or) (NNS newspapers)) (CC or) (, ,) (SBARQ-NOM (WHNP-1 (WP what)) (SQ (VBP have) (NP-SBJ (PRP you)) (NP (-NONE- *T*-1))))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"51","48780:4","which program did you use *t*-1?","no","yes","no","root","no","yes","","","","","","which","","","","","","","","did","use","","","","","no","no",NA,"(WDT Which)","which program did you use *t*-1?","(TOP (SBARQ (WHNP-1 (WDT Which) (NN program)) (SQ (VBD did) (NP-SBJ (PRP you)) (VP (VB use) (NP (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))","monomorphemic","no"
"52","50809:45","but i don't know if they really had significant effects in the places where they went *t*-2, in *-3 teaching the people how * to cope with their lives better *t*-1.","no","yes","no","subject","no","","","","","","","where","","","know","","","","","went","","","","","where","no","no",NA,"(WRB where)","where they went *t*-2","(TOP (S (CC But) (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (IN if) (S (NP-SBJ-3 (PRP they)) (ADVP (RB really)) (VP (VBD had) (NP (JJ significant) (NNS effects)) (PP-LOC (IN in) (NP (NP (DT the) (NNS places)) (SBAR (WHADVP-2 (WRB where)) (S (NP-SBJ (PRP they)) (VP (VBD went) (ADVP-DIR (-NONE- *T*-2))))))) (, ,) (PP (IN in) (S-NOM (NP-SBJ (-NONE- *-3)) (VP (VBG teaching) (NP (DT the) (NNS people)) (SBAR (WHADVP-1 (WRB how)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB cope) (PP (IN with) (NP (PRP$ their) (NNS lives))) (ADVP-MNR (RBR better)) (ADVP-MNR (-NONE- *T*-1)))))))))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"53","51925:38","but, of course, they still have no concept of, what in the world drugs are *t*-1, you, know","no","yes","no","relative","no","","","","","","","what","","","","","","","","are","","","","","what in the world","no","no",NA,"(WP what)","what in the world drugs are *t*-1","(TOP (S (CC But) (, ,) (PP (IN of) (NP (NN course))) (, ,) (NP-SBJ (PRP they)) (ADVP-TMP (RB still)) (VP (VBP have) (NP (NP (DT no) (NN concept)) (PP (IN of) (, ,) (SBAR-NOM (WHNP-1 (WHNP (WP what)) (PP-LOC (IN in) (NP (DT the) (NN world)))) (S (NP-SBJ (NNS drugs)) (VP (VBP are) (NP-PRD (-NONE- *T*-1))))))) (PRN (, ,) (S (NP-SBJ (PRP you)) (, ,) (VP (VBP know))))) (-DFL- E_S)))","monomorphemic","yes"
"54","52018:24","what *t*-1's, what *t*-2's your most recent one that you've seen *t*-3?","no","yes","no","root","no","yes","","","","","most","what","","","","","","","","'s","most","recent","","your most recent one that you've seen *t*-3","","no","no",NA,"(WP what)","what *t*-1's, what *t*-2's your most recent one that you've seen *t*-3?","(TOP (SBARQ (EDITED (RM (-DFL- \[)) (SBARQ (WHNP-1 (WP What)) (SQ (NP-SBJ (-NONE- *T*-1)) (VP-UNF (BES 's)))) (, ,) (IP (-DFL- \+))) (WHNP-2 (WP what)) (SQ (NP-SBJ (-NONE- *T*-2)) (VP (BES 's) (RS (-DFL- \])) (NP-PRD (NP (PRP$ your) (ADJP (RBS most) (JJ recent)) (NN one)) (SBAR (WHNP-3 (WDT that)) (S (NP-SBJ (PRP you)) (VP (VBP 've) (VP (VBN seen) (NP (-NONE- *T*-3))))))))) (. ?) (-DFL- E_S)))","monomorphemic","no"
"55","53895:75","and then, when they collect them at the end of each week *t*-1, they get *-2 to go to this little, what they call *t*-3 their * caught *-4 being good store,","no","yes","no","embedded","no","","","","","","call","what","","","get","","go","","","call","caught","being","","","what","no","no",NA,"(WP what)","what they call *t*-3 their * caught *-4 being good store","(TOP (S (CONJP (CC And) (RB then)) (, ,) (SBAR-TMP (WHADVP-1 (WRB when)) (S (NP-SBJ (PRP they)) (VP (VBP collect) (NP (PRP them)) (PP-TMP (IN at) (NP (NP (DT the) (NN end)) (PP (IN of) (NP (DT each) (NN week))))) (ADVP-TMP (-NONE- *T*-1))))) (, ,) (NP-SBJ-2 (PRP they)) (VP (VBP get) (S (NP-SBJ (-NONE- *-2)) (VP (TO to) (VP (VB go) (PP-DIR (IN to) (EDITED (NP-UNF (DT this) (JJ little))) (, ,) (SBAR-NOM (WHNP-3 (WP what)) (S (NP-SBJ (PRP they)) (VP (VBP call) (S (NP-SBJ (-NONE- *T*-3)) (NP-PRD (PRP$ their) (S (NP-SBJ-4 (-NONE- *)) (VP (VBN caught) (S (NP-SBJ (-NONE- *-4)) (VP (VBG being) (ADJP-PRD (JJ good)))))) (NN store))))))))))) (, ,) (-DFL- E_S)))","monomorphemic","no"
"56","55721:55","and they show you how, everything 0 * to do *t*-1, and how * to do it *t*-3, and the whole nine yards.","no","no","no","adjunct","no","","","","","","","how","","","","","","","","do","","","","","","no","no",NA,"(WRB how)","how * to do it *t*-3","(TOP (S (CC and) (NP-SBJ (PRP they)) (VP (VBP show) (NP (PRP you)) (EDITED (RM (-DFL- \[)) (SBAR-UNF (WHADVP (WRB how))) (, ,) (IP (-DFL- \+))) (UCP (NP (NP (NN everything)) (SBAR (WHNP-1 (-NONE- 0)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB do) (NP (-NONE- *T*-1))))))) (, ,) (CC and) (SBAR (WHADVP-3 (WRB how)) (RS (-DFL- \])) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB do) (NP (PRP it)) (ADVP-MNR (-NONE- *T*-3)))))) (, ,) (CC and) (NP (DT the) (JJ whole) (CD nine) (NNS yards)))) (. .) (-DFL- E_S)))","monomorphemic","no"
"57","56196:8","and what *ich*-2 *t*-1's really neat about it is, the shrimp is cooked *-3 in your, uh, like your rice steamer, your rice cooker.","no","yes","no","adjunct","no","","","","","","really","what","","","","","","","","'s","really","neat","","","","no","no",NA,"(WP what)","what *ich*-2 *t*-1's really neat about it","(TOP (S (CC And) (SBAR-NOM-SBJ (WHNP-1 (WHNP (WP what)) (PP (-NONE- *ICH*-2))) (S (NP-SBJ (-NONE- *T*-1)) (VP (BES 's) (ADJP-PRD (RB really) (JJ neat)) (PP-2 (IN about) (NP (PRP it)))))) (VP (VBZ is) (, ,) (S-PRD (NP-SBJ-3 (DT the) (NN shrimp)) (VP (VBZ is) (VP (VBN cooked) (NP (-NONE- *-3)) (PP-LOC (IN in) (EDITED (RM (-DFL- \[)) (EDITED (RM (-DFL- \[)) (NP-UNF (PRP$ your)) (, ,) (IP (-DFL- \+))) (INTJ (UH uh)) (, ,) (INTJ (UH like)) (NP (PRP$ your) (RS (-DFL- \])) (NN rice) (NN steamer)) (, ,) (IP (-DFL- \+))) (NP (PRP$ your) (NN rice) (NN cooker))))))) (. .) (RS (-DFL- \])) (-DFL- E_S)))","monomorphemic","no"
"58","56723:24","i'm trying *-1 to think what they call *t*-2 their soup.","no","yes","no","embedded","no","","","","","","call","what","","","think","","","","","call","","","","","","no","no",NA,"(WP what)","what they call *t*-2 their soup","(TOP (S (NP-SBJ-1 (PRP I)) (VP (VBP 'm) (VP (VBG trying) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB think) (SBAR (WHNP-2 (WP what)) (S (NP-SBJ (PRP they)) (VP (VBP call) (S (NP-SBJ (-NONE- *T*-2)) (NP-PRD (PRP$ their) (NN soup))))))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"59","58323:21","oh, oh, that's what i was thinking *t*-1 by quick transition,","no","yes","no","embedded","no","","","","","","","what","","","'s","","","","","was","thinking","quick","","","","no","no",NA,"(WP what)","what i was thinking *t*-1 by quick transition","(TOP (S (INTJ (UH oh)) (, ,) (INTJ (UH oh)) (, ,) (NP-SBJ (DT that)) (VP (BES 's) (SBAR-NOM-PRD (WHNP-1 (WP what)) (S (NP-SBJ (PRP I)) (VP (VBD was) (VP (VBG thinking) (NP (-NONE- *T*-1)) (PP (IN by) (NP (JJ quick) (NN transition)))))))) (, ,) (-DFL- E_S)))","monomorphemic","no"
"60","59128:29","you know, i think to myself, what did i do *t*-1.","no","yes","no","embedded","no","yes","","","","","","what","","","think","","","","","did","do","","","","","no","no",NA,"(WP what)","what did i do *t*-1","(TOP (S (PRN (S (NP-SBJ (PRP You)) (VP (VBP know))) (, ,)) (NP-SBJ (PRP I)) (VP (VBP think) (PP (IN to) (NP (PRP myself))) (, ,) (SBARQ-SEZ (WHNP-1 (WP what)) (SQ (VBD did) (NP-SBJ (PRP I)) (VP (VB do) (NP (-NONE- *T*-1)))))) (. .) (-DFL- E_S)))","monomorphemic","no"
